# SpeechBrokerVoiceAdapter - every line the adapter puts out, Russian.
#
# Translated from localization/speechbrokervoiceadapter.english.txt. The numbered
# placeholders may be reordered freely, but every one of them has to appear.

$SPEECHBROKERVOICE_WORD_I_AM_SOURCE	я источник
$SPEECHBROKERVOICE_LOG_AUDIO_ENDPOINT_DEFAULT	микрофон: найдено устройство {0} - оно же системное по умолчанию
$SPEECHBROKERVOICE_LOG_AUDIO_ENDPOINT_SKIPPED	микрофон: устройство не назвало ни имени, ни идентификатора, код {0} - пропускаю
$SPEECHBROKERVOICE_LOG_AUDIO_NO_DEFAULT	микрофон: в системе нет устройства записи по умолчанию, код {0}
$SPEECHBROKERVOICE_LOG_AUDIO_PATTERN_UNMATCHED	микрофон: образцу «{0}» не соответствует ни одно устройство
$SPEECHBROKERVOICE_LOG_AUDIO_CANDIDATE	микрофон: кандидат {0} - {1}
$SPEECHBROKERVOICE_LOG_AUDIO_NO_CANDIDATES	микрофон: ни один из {0} образцов в настройках не совпал ни с одним из {1} устройств этой машины, а брать устройство по умолчанию не разрешено - слушать нечем
$SPEECHBROKERVOICE_LOG_AUDIO_API_IGNORED	микрофон: в настройках указан звуковой интерфейс «{0}» - внутри игры есть только WASAPI, продолжаю работать через него
$SPEECHBROKERVOICE_WORD_PASS_INTERIM	черновой
$SPEECHBROKERVOICE_WORD_PASS_FINAL	последний
$SPEECHBROKERVOICE_LOG_EARS_NO_SOURCE	уши: ни один источник звука не открылся - слушать нечего
$SPEECHBROKERVOICE_LOG_EARS_STARTED	уши: слушаю - ход кончается на {0} мс, проход короче {1} мс или тише пика {2:.0f} не отправляется
$SPEECHBROKERVOICE_LOG_EARS_STOPPED	уши: остановлены - услышано {0} отсчётов, из них потеряно {1}, ходов {2}, проходов {3}
$SPEECHBROKERVOICE_LOG_EARS_DEVICE	уши: звук идёт с {0}, {1} Гц, каналов {2} - привожу к {3} Гц моно
$SPEECHBROKERVOICE_LOG_EARS_DEVICE_CHANGED	уши: источник звука переоткрыт - {0} отсчётов прежнего выброшено, открытый ход закрыт, тишину комнаты измерю заново
$SPEECHBROKERVOICE_LOG_EARS_RING_SHORT	уши: источник даёт {0} Гц, а кольцо рассчитано на {1} Гц - в нём помещается {2} мс вместо {3} мс
$SPEECHBROKERVOICE_LOG_EARS_RING_TINY	уши: ringMs {0} короче двух блоков устройства - беру {1} мс
$SPEECHBROKERVOICE_LOG_EARS_FLOOR	уши: комната измерена - фон {0:.0f}, порог срабатывания {1:.0f}
$SPEECHBROKERVOICE_LOG_EARS_TURN_BEGAN	уши: речевой ход {0} начался
$SPEECHBROKERVOICE_LOG_EARS_TURN_ENDED	уши: речевой ход {0} закончен - {1} мс, проходов {2}
$SPEECHBROKERVOICE_LOG_EARS_CEILING	уши: речевой ход {0} упёрся в потолок {1} мс - он кончается здесь, следующий отсчёт начинает новый
$SPEECHBROKERVOICE_LOG_EARS_CEILING_LOW	уши: потолок хода {0} мс, а нижняя граница прохода {1} мс - отправить нельзя будет ничего; проверьте maxUttSec, minUttSec и minPassMs
$SPEECHBROKERVOICE_LOG_EARS_PASS	уши: ход {0}, проход {1} ({2}) - {3} мс, срезано {4} мс хвостовой тишины, потеряно отсчётов {5}
$SPEECHBROKERVOICE_LOG_EARS_PASS_SHORT	уши: ход {0}, проход {1} вышел {2} мс при нижней границе {3} мс - не отправляю
$SPEECHBROKERVOICE_LOG_EARS_PASS_QUIET	уши: ход {0}, проход {1} не дотянул до пика {2:.0f} - это тишина, и модель выдумает по ней слова
$SPEECHBROKERVOICE_LOG_EARS_SINK_THREW	уши: тот, кто принимает проходы, бросил исключение на ходе {0}, проходе {1}: {2} - проглочено, слушаю дальше
$SPEECHBROKERVOICE_LOG_EARS_END_SILENCE_SPLIT	уши: vad.endSilenceMs равен {0}, а pacer.endSilenceMs равен {1} - ход закрывается по второму, первый не читается вовсе
$SPEECHBROKERVOICE_LOG_EARS_SOURCE_SPENT	уши: запись кончилась - закрываю открытый ход
$SPEECHBROKERVOICE_LOG_EARS_HOLE	уши: пропало {0} отсчётов звука - переполнилось кольцо или пропало устройство; вместо них идёт тишина, чтобы часы не сдвинулись

$SPEECHBROKERVOICE_LOG_CAPTURE_REFUSED	захват: {0} не открылся - {1} отвечает {2}
$SPEECHBROKERVOICE_LOG_CAPTURE_FORMAT_UNSUPPORTED	захват: {0} отдаёт {1} бит формата {2} по {3} каналам, и эта сборка такое не преобразует - беру следующего кандидата
$SPEECHBROKERVOICE_LOG_CAPTURE_OPENED	захват: слушаю {0} - {1} Гц, каналов {2}, период запрошен {3} мс, открытие номер {4}
$SPEECHBROKERVOICE_LOG_CAPTURE_ROUND_FAILED	захват: ни один вход не открылся на заходе {0} из {1} - жду {2} мс: только что убитый процесс ещё держит точку записи
$SPEECHBROKERVOICE_LOG_CAPTURE_NONE_OPENED	захват: не открылся ни один вход - слушать нечего
$SPEECHBROKERVOICE_LOG_CAPTURE_SILENT	захват: {0} ничего не отдал за {1} мс - это дольше, чем вмещает кольцо; считаю его пропавшим и открываю заново
$SPEECHBROKERVOICE_LOG_CAPTURE_LOST	захват: {0} пропал, код {1} - открываю заново
$SPEECHBROKERVOICE_LOG_CAPTURE_CLOSED	захват: {0} закрыт - отдано {1} отсчётов, потеряно {2} в {3} дырах
$SPEECHBROKERVOICE_LOG_CAPTURE_HOLE_CAPPED	захват: {0} отсчётов дыры заполнить нечем - в кольце {1}, а дыра длиннее него всё равно переживает любую реплику
$SPEECHBROKERVOICE_LOG_CAPTURE_COM	захват: COM не поднялся на потоке накачки, код {0} - микрофона не будет
$SPEECHBROKERVOICE_LOG_CAPTURE_NO_MMCSS	захват: мультимедийный планировщик отказал потоку, код {0} - накачка пойдёт с обычным приоритетом
$SPEECHBROKERVOICE_LOG_CAPTURE_EVENTS	захват: не удалось создать сигнальные объекты, код {0}
$SPEECHBROKERVOICE_LOG_CAPTURE_THREAD	захват: поток накачки не запустился - {0}
$SPEECHBROKERVOICE_LOG_CAPTURE_CRASHED	захват: поток накачки упал, и микрофон больше не читается
$SPEECHBROKERVOICE_LOG_CAPTURE_STOPPED	захват: остановлен
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_NOT_SET	захват: источником выбран 'file', а файл в настройках не назван
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_OUTSIDE	захват: wav '{0}' выходит за рабочую папку адаптера - читать не буду
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_MISSING	захват: по пути '{0}' wav нет
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_BROKEN	захват: '{0}' - не тот wav, который эта сборка умеет читать: блок {1} отсутствует или обрезан
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_UNSUPPORTED	захват: в '{0}' лежит {1} бит формата {2} по {3} каналам, и эта сборка такое не преобразует
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_EMPTY	захват: в '{0}' нет звука
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_OPENED	захват: вместо микрофона '{0}' - {1} Гц, каналов {2}, звука {3} мс, блок {4} мс, с темпом {5}
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_END	захват: '{0}' исчерпан - подано {1} отсчётов
$SPEECHBROKERVOICE_LOG_CAPTURE_FILE_LOOP	захват: '{0}' начинается заново
$SPEECHBROKERVOICE_LOG_SETTINGS_SOURCE_UNKNOWN	настройки: ears.capture.source задан как '{0}', а это не 'device' и не 'file' - берётся микрофон
$SPEECHBROKERVOICE_LOG_SETTINGS_PAUSE_FACTOR	настройки: ears.completeness.pauseFactor равен {0:.2f} - меньше единицы правило о торопливой паузе не сработает никогда, а при нуле и ниже любая пауза читается как конец фразы
$SPEECHBROKERVOICE_LOG_HOST_BROADCAST	таблица для модов-моделей разослана - кто слушал, может зарегистрироваться
